('1', '1', '2010-03-10', 'acquisizione', '22800')
('1', '1', 'NULL', 'vendita', '22800')
('2', '2', '2010-03-06', 'acquisizione', '63645')
('2', '2', '2011-05-09', 'vendita', '63645')
('3', '3', '2010-07-05', 'acquisizione', '70240')
('3', '3', 'NULL', 'vendita', '70240')
('4', '4', '2010-01-30', 'acquisizione', '11841')
('4', '4', 'NULL', 'vendita', '11841')
('5', '5', '2009-07-04', 'acquisizione', '75173')
('5', '5', '2010-01-04', 'vendita', '75173')
('6', '6', '2009-03-03', 'acquisizione', '72201')
('6', '6', '2009-05-03', 'vendita', '72201')
('7', '7', '2010-04-30', 'acquisizione', '27180')
('7', '7', 'NULL', 'vendita', '27180')
('8', '8', '2009-12-13', 'acquisizione', '16656')
('8', '8', '2010-11-24', 'vendita', '16656')
('9', '9', '2010-04-26', 'acquisizione', '27093')
('9', '9', '2011-08-19', 'vendita', '27093')
('10', '10', '2010-04-27', 'acquisizione', '71441')
('10', '10', 'NULL', 'vendita', '71441')
('11', '11', '2010-04-26', 'acquisizione', '73345')
('11', '11', '2011-08-19', 'vendita', '73345')
('12', '12', '2010-06-16', 'acquisizione', '21627')
('12', '12', '2011-11-29', 'vendita', '21627')
('13', '13', '2009-11-27', 'acquisizione', '70333')
('13', '13', 'NULL', 'vendita', '70333')
('14', '14', '2009-07-02', 'acquisizione', '30303')
('14', '14', 'NULL', 'vendita', '30303')
('15', '15', '2009-07-20', 'acquisizione', '60210')
('15', '15', '2010-02-05', 'vendita', '60210')
('16', '16', '2009-04-04', 'acquisizione', '15024')
('16', '16', 'NULL', 'vendita', '15024')
('17', '17', '2009-07-14', 'acquisizione', '31512')
('17', '17', 'NULL', 'vendita', '31512')
('18', '18', '2009-09-26', 'acquisizione', '42488')
('18', '18', 'NULL', 'vendita', '42488')
('19', '19', '2009-05-02', 'acquisizione', '10534')
('19', '19', 'NULL', 'vendita', '10534')
('20', '20', '2009-07-29', 'acquisizione', '30551')
('20', '20', 'NULL', 'vendita', '30551')
('21', '21', '2009-03-19', 'acquisizione', '67693')
('21', '21', 'NULL', 'vendita', '67693')
('22', '22', '2009-03-30', 'acquisizione', '77285')
('22', '22', 'NULL', 'vendita', '77285')
('23', '23', '2009-06-27', 'acquisizione', '61718')
('23', '23', '2009-12-21', 'vendita', '61718')
('24', '24', '2010-04-30', 'acquisizione', '40661')
('24', '24', '2011-08-27', 'vendita', '40661')
('25', '25', '2009-02-23', 'acquisizione', '79854')
('25', '25', 'NULL', 'vendita', '79854')
('26', '26', '2009-03-05', 'acquisizione', '48893')
('26', '26', '2009-05-07', 'vendita', '48893')
('27', '27', '2010-05-18', 'acquisizione', '42229')
('27', '27', 'NULL', 'vendita', '42229')
('28', '28', '2010-02-14', 'acquisizione', '46593')
('28', '28', '2011-03-30', 'vendita', '46593')
('29', '29', '2009-11-15', 'acquisizione', '50378')
('29', '29', 'NULL', 'vendita', '50378')
('30', '30', '2010-06-22', 'acquisizione', '46141')
('30', '30', '2011-12-11', 'vendita', '46141')
('31', '31', '2009-09-17', 'acquisizione', '22648')
('31', '31', '2010-06-03', 'vendita', '22648')
('32', '32', '2009-03-14', 'acquisizione', '50822')
('32', '32', '2009-05-25', 'vendita', '50822')
('33', '33', '2009-10-15', 'acquisizione', '29179')
('33', '33', '2010-07-29', 'vendita', '29179')
('34', '34', '2010-03-26', 'acquisizione', '44366')
('34', '34', '2011-06-18', 'vendita', '44366')
('35', '35', '2010-01-03', 'acquisizione', '16927')
('35', '35', 'NULL', 'vendita', '16927')
('36', '36', '2009-06-29', 'acquisizione', '67144')
('36', '36', 'NULL', 'vendita', '67144')
('37', '37', '2009-12-17', 'acquisizione', '22346')
('37', '37', 'NULL', 'vendita', '22346')
('38', '38', '2009-04-09', 'acquisizione', '74425')
('38', '38', '2009-07-16', 'vendita', '74425')
('39', '39', '2009-09-13', 'acquisizione', '67865')
('39', '39', '2010-05-26', 'vendita', '67865')
('40', '40', '2009-05-31', 'acquisizione', '26562')
('40', '40', 'NULL', 'vendita', '26562')
('41', '41', '2009-06-22', 'acquisizione', '15173')
('41', '41', '2009-12-11', 'vendita', '15173')
('42', '42', '2010-02-07', 'acquisizione', '79755')
('42', '42', '2011-03-16', 'vendita', '79755')
('43', '43', '2009-03-09', 'acquisizione', '34045')
('43', '43', '2009-05-15', 'vendita', '34045')
('44', '44', '2009-06-21', 'acquisizione', '31807')
('44', '44', 'NULL', 'vendita', '31807')
('45', '45', '2009-07-23', 'acquisizione', '69501')
('45', '45', '2010-02-11', 'vendita', '69501')
('46', '46', '2010-07-21', 'acquisizione', '13742')
('46', '46', '2012-02-07', 'vendita', '13742')
('47', '47', '2009-05-29', 'acquisizione', '66420')
('47', '47', 'NULL', 'vendita', '66420')
