(1, 45, 22, '2022-03-15', 50000, 127),
(2, 78, 65, '2022-05-28', 75000, 42),
(3, 12, 91, '2022-08-10', 60000, 178),
(4, 23, 34, '2022-01-19', 55000, 93),
(5, 56, 79, '2022-04-02', 70000, 15),
(6, 89, 54, '2022-06-14', 80000, 72),
(7, 34, 12, '2022-09-27', 65000, 105),
(8, 67, 87, '2022-02-08', 72000, 191),
(9, 45, 32, '2022-05-22', 58000, 84),
(10, 78, 66, '2022-08-04', 73000, 56),
(11, 12, 92, '2022-01-17', 61000, 132),
(12, 23, 35, '2022-04-30', 56000, 8),
(13, 56, 80, '2022-07-12', 69000, 177),
(14, 89, 55, '2022-10-03', 81000, 33),
(15, 34, 13, '2022-02-15', 64000, 64),
(16, 67, 88, '2022-05-28', 59000, 125),
(17, 45, 33, '2022-08-11', 74000, 94),
(18, 78, 67, '2022-01-22', 62000, 157),
(19, 12, 93, '2022-04-05', 57000, 78),
(20, 23, 36, '2022-06-18', 68000, 11),
(21, 56, 81, '2022-09-01', 71000, 196),
(22, 89, 56, '2022-02-24', 80000, 45),
(23, 34, 14, '2022-05-09', 66000, 104),
(24, 67, 89, '2022-07-23', 60000, 170),
(25, 45, 34, '2022-10-15', 75000, 23),
(26, 78, 68, '2022-03-03', 63000, 84),
(27, 12, 94, '2022-05-17', 58000, 38),
(28, 23, 37, '2022-08-29', 71000, 116),
(29, 56, 82, '2022-01-09', 67000, 198),
(30, 89, 57, '2022-04-22', 79000, 52),
(31, 34, 15, '2022-07-06', 62000, 77),
(32, 67, 90, '2022-09-19', 73000, 151),
(33, 45, 35, '2022-02-28', 69000, 9),
(34, 78, 69, '2022-05-11', 64000, 162),
(35, 12, 95, '2022-08-03', 57000, 43),
(36, 23, 38, '2022-10-27', 80000, 87),
(37, 56, 83, '2022-03-10', 65000, 192),
(38, 89, 58, '2022-06-02', 76000, 121),
(39, 34, 16, '2022-09-15', 61000, 25),
(40, 67, 91, '2022-01-26', 72000, 176),
(41, 45, 36, '2022-04-09', 74000, 68),
(42, 78, 70, '2022-07-22', 59000, 37),
(43, 12, 96, '2022-10-04', 68000, 110),
(44, 23, 39, '2022-03-17', 77000, 198),
(45, 56, 84, '2022-05-30', 62000, 50),
(46, 89, 59, '2022-08-11', 75000, 154),
(47, 34, 17, '2022-01-20', 67000, 71),
(48, 67, 92, '2022-04-02', 71000, 136),
(49, 45, 37, '2022-06-14', 60000, 8),
(50, 78, 71, '2022-09-27', 79000, 183),
(51, 12, 97, '2022-02-07', 65000, 59),
(52, 23, 40, '2022-05-20', 73000, 118),
(53, 56, 85, '2022-07-02', 64000, 21),
(54, 89, 60, '2022-10-18', 81000, 161),
(55, 34, 18, '2022-03-25', 62000, 89),
(56, 67, 93, '2022-06-06', 70000, 92),
(57, 45, 38, '2022-08-19', 76000, 35),
(58, 78, 72, '2022-01-30', 63000, 134),
(59, 12, 98, '2022-04-12', 71000, 104),
(60, 23, 41, '2022-07-15', 68000, 49),
(61, 56, 86, '2022-09-29', 80000, 176),
(62, 89, 61, '2022-02-13', 65000, 82),
(63, 34, 19, '2022-05-05', 69000, 11),
(64, 67, 94, '2022-08-26', 74000, 147),
(65, 45, 39, '2022-11-07', 60000, 76),
(66, 78, 73, '2022-03-04', 72000, 28),
(67, 12, 99, '2022-05-10', 58000, 115),
(68, 23, 42, '2022-07-24', 77000, 188),
(69, 56, 87, '2022-10-06', 69000, 43),
(70, 89, 62, '2022-02-21', 80000, 102),
(71, 34, 20, '2022-05-28', 64000, 63),
(72, 67, 95, '2022-08-09', 73000, 126),
(73, 45, 40, '2022-11-18', 78000, 14),
(74, 78, 74, '2022-03-11', 66000, 175),
(75, 12, 100, '2022-06-23', 61000, 71),
(76, 23, 43, '2022-09-05', 70000, 194),
(77, 56, 88, '2022-01-16', 75000, 53),
(78, 89, 63, '2022-04-29', 79000, 108),
(79, 34, 21, '2022-07-10', 68000, 161),
(80, 67, 96, '2022-09-24', 72000, 40),
(81, 45, 41, '2022-02-27', 71000, 83),
(82, 78, 75, '2022-05-21', 65000, 122),
(83, 12, 101, '2022-08-02', 60000, 26),
(84, 23, 44, '2022-10-14', 77000, 73),
(85, 56, 89, '2022-03-21', 69000, 188),
(86, 89, 64, '2022-06-05', 80000, 99),
(87, 34, 22, '2022-09-13', 63000, 34),
(88, 67, 97, '2022-01-24', 73000, 154),
(89, 45, 42, '2022-04-06', 74000, 106),
(90, 78, 76, '2022-07-27', 59000, 19),
(91, 12, 102, '2022-10-01', 71000, 197),
(92, 23, 45, '2022-03-28', 76000, 59),
(93, 56, 90, '2022-06-11', 64000, 31),
(94, 89, 65, '2022-08-18', 77000, 140),
(95, 34, 23, '2022-01-11', 68000, 166),
(96, 67, 98, '2022-04-24', 72000, 72),
(97, 45, 43, '2022-07-17', 75000, 27),
(98, 78, 77, '2022-10-10', 60000, 123),
(99, 12, 103, '2022-02-03', 69000, 110),
(100, 23, 46, '2022-05-03', 78000, 83),
(101, 56, 91, '2022-08-21', 73000, 163),
(102, 89, 66, '2022-11-02', 80000, 50),
(103, 34, 24, '2022-03-01', 67000, 8),
(104, 67, 99, '2022-05-14', 71000, 115),
(105, 45, 44, '2022-08-31', 60000, 180),
(106, 78, 78, '2022-01-19', 74000, 47),
(107, 12, 104, '2022-04-01', 79000, 139),
(108, 23, 47, '2022-06-15', 65000, 72),
(109, 56, 92, '2022-09-28', 77000, 194),
(110, 89, 67, '2022-02-27', 74000, 38),
(111, 34, 25, '2022-05-09', 61000, 97),
(112, 67, 100, '2022-08-22', 71000, 104),
(113, 45, 45, '2022-11-13', 60000, 21),
(114, 78, 79, '2022-03-06', 68000, 150),
(115, 12, 105, '2022-05-17', 75000, 125),
(116, 23, 48, '2022-08-04', 63000, 64),
(117, 56, 93, '2022-10-26', 78000, 177),
(118, 89, 68, '2022-02-13', 80000, 107),
(119, 34, 26, '2022-05-04', 66000, 63),
(120, 67, 101, '2022-07-07', 70000, 150),
(121, 45, 46, '2022-09-20', 79000, 43),
(122, 78, 80, '2022-12-01', 64000, 118),
(123, 12, 106, '2022-03-14', 72000, 95),
(124, 23, 49, '2022-05-28', 67000, 29),
(125, 56, 94, '2022-08-10', 81000, 113),
(126, 89, 69, '2022-02-01', 74000, 191),
(127, 34, 27, '2022-04-28', 69000, 34),
(128, 67, 102, '2022-07-19', 73000, 86),
(129, 45, 47, '2022-10-08', 70000, 168),
(130, 78, 81, '2022-01-25', 75000, 11),
(131, 12, 107, '2022-04-07', 68000, 44),
(132, 23, 50, '2022-06-20', 76000, 125),
(133, 56, 95, '2022-09-02', 70000, 68),
(134, 89, 70, '2022-02-08', 80000, 13),
(135, 34, 28, '2022-05-15', 71000, 165),
(136, 67, 103, '2022-08-28', 65000, 92),
(137, 45, 48, '2022-11-21', 78000, 114),
(138, 78, 82, '2022-03-09', 69000, 26),
(139, 12, 108, '2022-06-26', 73000, 194),
(140, 23, 51, '2022-09-10', 62000, 55),
(141, 56, 96, '2022-12-04', 76000, 184),
(142, 89, 71, '2022-02-15', 80000, 102),
(143, 34, 29, '2022-05-22', 70000, 21),
(144, 67, 104, '2022-08-15', 74000, 131),
(145, 45, 49, '2022-11-02', 63000, 90),
(146, 78, 83, '2022-03-02', 71000, 50),
(147, 12, 109, '2022-06-09', 77000, 173),
(148, 23, 52, '2022-09-24', 66000, 15),
(149, 56, 97, '2022-12-17', 79000, 158),
(150, 89, 72, '2022-02-22', 80000, 77),
(151, 34, 30, '2022-05-31', 64000, 125),
(152, 67, 105, '2022-08-09', 72000, 104),
(153, 45, 50, '2022-11-26', 75000, 56),
(154, 78, 84, '2022-03-15', 68000, 48),
(155, 12, 110, '2022-06-16', 71000, 141),
(156, 23, 53, '2022-09-06', 80000, 196),
(157, 56, 98, '2022-12-30', 73000, 73),
(158, 89, 73, '2022-02-28', 78000, 134),
(159, 34, 31, '2022-06-02', 65000, 16),
(160, 67, 106, '2022-09-19', 74000, 112),
(161, 45, 51, '2022-12-10', 60000, 37),
(162, 78, 85, '2022-03-22', 79000, 89),
(163, 12, 111, '2022-06-29', 68000, 189),
(164, 23, 54, '2022-09-13', 77000, 42),
(165, 56, 99, '2023-01-12', 71000, 117),
(166, 89, 74, '2023-03-05', 80000, 154),
(167, 34, 32, '2023-06-18', 66000, 64),
(168, 67, 107, '2023-09-30', 72000, 198),
(169, 45, 52, '2023-01-02', 75000, 98),
